Season,Crop,Yield_Tonnes_Ha,Production_Tonnes,Revenue_INR,Profit_INR
Kharif,Chilli,1.73,14.46,1494091.73,954380.42
Kharif,Cotton,1.37,10.41,713739.94,216999.55
Kharif,Groundnut,1.48,10.49,594414.86,108265.44
Kharif,Maize,2.97,23.35,486047.01,-39332.67
Kharif,Pulses,1.04,8.29,590276.29,43338.9
Kharif,Rice,2.7,22.45,491546.11,-64903.4
Kharif,Sugarcane,53.46,446.07,1561828.16,1000790.81
Kharif,Wheat,2.25,18.31,431595.94,-105871.87
Rabi,Chilli,1.47,10.97,1140992.37,638572.5
Rabi,Cotton,1.2,9.44,637722.18,107343.59
Rabi,Groundnut,1.23,9.06,505760.27,10416.54
Rabi,Maize,2.6,21.59,454728.04,-89133.4
Rabi,Pulses,0.88,7.2,515813.3,-14309.14
Rabi,Rice,2.32,17.22,379818.7,-98427.87
Rabi,Sugarcane,43.29,365.26,1269754.74,731612.86
Rabi,Wheat,2.06,16.07,385277.84,-119954.57
Zaid,Chilli,1.2,9.98,994429.55,448659.09
Zaid,Cotton,0.96,6.93,469463.91,-53925.34
Zaid,Groundnut,1.04,8.62,480796.57,-68872.5
Zaid,Maize,2.29,17.94,382831.3,-194049.17
Zaid,Pulses,0.67,4.94,351609.31,-139227.81
Zaid,Rice,1.9,15.11,332144.38,-227239.34
Zaid,Sugarcane,38.42,329.56,1165236.35,583635.8
Zaid,Wheat,1.75,14.06,333265.15,-193208.95
