Season,Irrigation_Method,Yield_Tonnes_Ha,Water_Used_m3,Water_Efficiency_t_per_1000m3,Profit_INR
Kharif,Drip,7.26,5953.37,6.8,317222.07
Kharif,Flood,4.98,8229.27,3.64,133373.83
Kharif,Rainfed,5.7,3687.52,8.85,158974.13
Kharif,Sprinkler,4.66,5863.27,4.62,116880.49
Rabi,Drip,6.11,5911.41,6.05,187843.22
Rabi,Flood,5.06,7766.83,3.48,58824.8
Rabi,Rainfed,3.93,3298.29,6.87,45232.48
Rabi,Sprinkler,5.31,6129.09,4.64,76502.07
Zaid,Drip,5.85,5837.99,5.3,21291.84
Zaid,Flood,3.98,8113.69,2.73,-69786.78
Zaid,Rainfed,3.06,3879.39,5.48,-79467.26
Zaid,Sprinkler,6.14,7324.41,4.86,57909.4
