,Missing_Count,Missing_Percentage
Farm_ID,0,0.0
State,0,0.0
District,0,0.0
Crop,0,0.0
Season,0,0.0
Farm_Area_Hectares,0,0.0
Rainfall_mm,48,1.2
Avg_Temperature_C,0,0.0
Humidity_pct,0,0.0
Sunlight_Hours_Day,0,0.0
Soil_pH,0,0.0
Soil_Moisture_pct,40,1.0
Nitrogen_kg_ha,0,0.0
Phosphorus_kg_ha,0,0.0
Potassium_kg_ha,0,0.0
Irrigation_Method,0,0.0
Fertilizer_kg_ha,0,0.0
Pesticide_Litre_ha,0,0.0
Seed_Quality_Score,0,0.0
Yield_Tonnes_Ha,32,0.8
Production_Tonnes,0,0.0
Market_Price_INR_Tonne,0,0.0
Total_Cost_INR,0,0.0
Revenue_INR,0,0.0
Profit_INR,0,0.0
Water_Used_m3,0,0.0
Water_Efficiency_t_per_1000m3,0,0.0
Disease_Pest_Risk_pct,0,0.0
