Variable,Correlation,P_Value
Water_Efficiency_t_per_1000m3,0.9125675009144062,0.0
Production_Tonnes,0.8828128675727295,0.0
Profit_INR,0.4884660989684234,5.713938253808885e-239
Revenue_INR,0.43215187103718233,9.93596449597484e-182
Water_Used_m3,0.3862938118886716,1.641402869733083e-142
Nitrogen_kg_ha,0.053148885825715114,0.0007716829261108383
Phosphorus_kg_ha,0.047940933138405244,0.002422583820928924
Rainfall_mm,0.03095099355165086,0.05030400505380225
Total_Cost_INR,0.030622289196212793,0.05279763031974425
Farm_Area_Hectares,0.030203195606722008,0.056125937110693934
Disease_Pest_Risk_pct,0.014291575329120742,0.3661851405178827
Humidity_pct,0.0122974418436455,0.43683739830258594
Soil_Moisture_pct,0.010999346063015853,0.48676497909683025
Avg_Temperature_C,0.009996320546703599,0.5273600766164962
Potassium_kg_ha,0.0033823261184131453,0.830663377775915
Fertilizer_kg_ha,1.7712703696052406e-05,0.9991064495737729
Seed_Quality_Score,-0.007208500583093996,0.6485560716389805
Pesticide_Litre_ha,-0.007779075725186454,0.6228284841100111
Sunlight_Hours_Day,-0.015341101023909835,0.33204138287927687
Soil_pH,-0.02067158788924072,0.19117296063278952
Market_Price_INR_Tonne,-0.3826070074612067,1.2801076170511336e-139
